diseases,medicine_1,medicine_2,medicine_3,side_effects
Dementia,Donepezil, Rivastigmine, Galantamine,"Memory loss, Confusion, Language problems, Disorientation, Behavioral changes, Difficulty with daily tasks"
Insect Bite,Cetirizine, Diphenhydramine, Hydrocortisone,"Pain, Swelling, Redness, Itching, Blister, Allergic reaction if severe"
Paroxysmal Ventricular Tachycardia,Amiodarone, Lidocaine, Sotalol,"Rapid heartbeat, Palpitations, Dizziness, Shortness of breath, Chest pain, Fainting"
Congenital Heart Defect,Prostaglandin E1, Digoxin, Furosemide; surgery,"Bluish skin, Rapid breathing, Fatigue, Poor weight gain, Heart murmur, Swollen legs"
Connective Tissue Disorder,Prednisone, Methotrexate, Hydroxychloroquine,"Joint hypermobility, Skin problems, Fatigue, Pain, Organ involvement, Easy bruising"
Foreign Body in the Eye,Artificial Tears, Moxifloxacin; mechanical removal,,"Eye pain, Redness, Tearing, Blurred vision, Feeling of something in eye"
Poisoning due to Gas,Oxygen 100%, Hydroxocobalamin (cyanide), N-Acetylcysteine,"Headache, Dizziness, Nausea, Confusion, Loss of consciousness, Chest pain"
Pyogenic Skin Infection,Cloxacillin, Clindamycin, Mupirocin,"Redness, Swelling, Warmth, Pus, Pain, Fever"
Endometrial Hyperplasia,Medroxyprogesterone, Norethisterone, Levonorgestrel IUD,"Abnormal uterine bleeding, Heavy periods, Spotting, Pelvic pain"
Acanthosis Nigricans,Metformin, Tretinoin, Salicylic Acid,"Dark velvety skin patches, Usually in skin folds, Itching, Skin thickening"
Central Atherosclerosis,Atorvastatin, Rosuvastatin, Aspirin,"Chest pain, Shortness of breath, Fatigue, Stroke symptoms, Heart attack symptoms"
Viral Exanthem,Acetaminophen, Ibuprofen, Cetirizine,"Rash, Fever, Fatigue, Sore throat, Runny nose, Swollen lymph nodes"
Noninfectious Gastroenteritis,Oral Rehydration Salts (ORS), Loperamide, Ondansetron,"Nausea, Vomiting, Diarrhea, Abdominal cramps, Bloating, Fever"
Benign Prostatic Hyperplasia (BPH),Tamsulosin, Alfuzosin, Finasteride,"Frequent urination, Weak stream, Urgency, Incomplete emptying, Nocturia, Straining"
Menopause,Estradiol, Progesterone, Tibolone,"Hot flashes, Night sweats, Irregular periods, Vaginal dryness, Mood changes, Sleep problems"
Primary Immunodeficiency,Immunoglobulin G (IVIG), Trimethoprim-Sulfamethoxazole,,"Frequent infections, Severe infections, Poor response to treatment, Failure to thrive"
Ovarian Cancer,Carboplatin, Paclitaxel, Bevacizumab,"Bloating, Pelvic pain, Difficulty eating, Urinary urgency, Fatigue, Back pain"
Cataract,No drug; surgical phacoemulsification,,,"Cloudy vision, Glare, Halos, Faded colors, Poor night vision, Double vision"
Dislocation of the Hip,Morphine, Diazepam; closed reduction,,"Hip pain, Deformity, Shortened leg, Inability to move, Numbness, Swelling"
Spinal Stenosis,Ibuprofen, Naproxen, Pregabalin,"Back pain, Leg pain, Numbness, Weakness, Cramping when walking, Bowel or bladder changes"
Intestinal Obstruction,Metoclopramide, Neostigmine, Morphine; surgical correction,"Abdominal pain, Bloating, Nausea, Vomiting, Constipation, No gas passage"
Heart Contusion,Ibuprofen, Morphine, Metoprolol,"Chest pain, Palpitations, Shortness of breath, EKG changes, Bruising, Fatigue"
Congenital Malformation Syndrome,Supportive drugs based on specific defect,,,"Structural defects, Developmental delay, Organ abnormalities, Growth problems"
Sporotrichosis,Itraconazole, Amphotericin B, Potassium Iodide,"Skin nodules, Painless bumps along lymph channels, Redness, Ulceration"
Lymphangitis,Penicillin G, Clindamycin, Amoxicillin-Clavulanate,"Red streaks on skin, Pain, Swelling, Fever, Enlarged lymph nodes"
Wernicke-Korsakoff Syndrome,Thiamine (Vitamin B1), Glucose,,"Confusion, Eye movement problems, Coordination problems, Memory loss, Confabulation"
Intestinal Disease,Mesalazine, Metronidazole, Prednisone,"Abdominal pain, Diarrhea, Constipation, Bloating, Nausea, Blood in stool"
Acute Bronchitis,Amoxicillin (if bacterial), Salbutamol, Acetaminophen,"Cough, Mucus production, Chest discomfort, Fatigue, Mild fever, Sore throat"
Persistent Vomiting of Unknown Cause,Ondansetron, Metoclopramide, Promethazine,"Repeated vomiting, Nausea, Dehydration, Weight loss, Abdominal discomfort"
Open Wound of the Foot,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited mobility, Tissue damage"
Myocarditis,Prednisone, Enalapril, Metoprolol,"Chest pain, Shortness of breath, Fatigue, Palpitations, Fever, Fluid retention"
Preeclampsia,Magnesium Sulfate, Labetalol, Hydralazine,"High blood pressure, Protein in urine, Swelling, Headache, Vision changes, Upper abdominal pain"
Ischemic Heart Disease,Aspirin, Atorvastatin, Metoprolol,"Chest pain, Shortness of breath, Fatigue, Palpitations, Dizziness, Sweating"
Neurofibromatosis,Selumetinib, Carboplatin, Vincristine,"Cafe au lait spots, Neurofibromas, Lisch nodules, Bone deformities, Learning disabilities"
Chickenpox (Varicella),Acyclovir, Valacyclovir, Cetirizine,"Itchy blisters, Fever, Fatigue, Loss of appetite, Headache, General malaise"
Pancreatic Cancer,Gemcitabine, Nab-Paclitaxel, Erlotinib,"Abdominal pain, Jaundice, Weight loss, Loss of appetite, Back pain, New-onset diabetes"
Neuropathy due to Drugs,Gabapentin, Pregabalin, Duloxetine,"Numbness, Tingling, Burning, Weakness, Balance problems, Sensitivity"
Croup (Laryngotracheobronchitis),Dexamethasone, Epinephrine (nebulized), Budesonide,"Barking cough, Stridor, Hoarseness, Fever, Breathing difficulty, Agitation"
Idiopathic Excessive Menstruation,Ibuprofen, Tranexamic Acid, Norethisterone,"Heavy periods, Prolonged bleeding, Cramping, Fatigue, Anemia symptoms"
Amblyopia,No drug; patching, Atropine drops,,"Reduced vision in one eye, Poor depth perception, Squinting, Head tilting, Eye turning"
Meckel Diverticulum,No drug; surgical diverticulectomy,,,"Rectal bleeding, Abdominal pain, Obstruction symptoms, Intussusception, Volvulus"
Dislocation of the Wrist,Ibuprofen, Morphine; reduction and splinting,,"Wrist pain, Deformity, Swelling, Limited movement, Numbness, Tenderness"
Ear Drum Damage,Amoxicillin, Ciprofloxacin ear drops, Ibuprofen,"Ear pain, Hearing loss, Tinnitus, Discharge, Vertigo, Fullness sensation"
Erectile Dysfunction,Sildenafil, Tadalafil, Vardenafil,"Difficulty achieving erection, Difficulty maintaining erection, Reduced sexual desire"
Temporary or Benign Blood in Urine,Treat cause; Ciprofloxacin, Ibuprofen,,"Pink or red urine, Blood clots, Usually painless"
Kidney Disease due to Longstanding Hypertension,Ramipril, Losartan, Furosemide,"Swelling, Fatigue, Reduced urination, Blood in urine, High blood pressure, Protein in urine"
Chondromalacia of the Patella,Ibuprofen, Naproxen, Triamcinolone,"Knee pain, Pain when climbing stairs, Pain when sitting, Grinding sensation, Swelling"
Onychomycosis,Terbinafine, Itraconazole, Fluconazole,"Thickened nails, Yellow or brown discoloration, Brittle nails, Separation from nail bed, Odor"
Urethral Disorder,Ciprofloxacin, Doxycycline, Lidocaine gel,"Painful urination, Discharge, Frequency, Urgency, Incomplete emptying"
Lyme Disease,Doxycycline, Amoxicillin, Ceftriaxone,"Bull's eye rash, Fever, Fatigue, Joint pain, Headache, Muscle aches"
Iron Deficiency Anemia,Ferrous Sulfate, Ferrous Gluconate, Ferric Carboxymaltose,"Fatigue, Weakness, Pale skin, Shortness of breath, Cold hands, Brittle nails"
Acute Respiratory Distress Syndrome (ARDS),Methylprednisolone, Neuromuscular Blockers (Cisatracurium),,"Severe shortness of breath, Low oxygen, Rapid breathing, Confusion, Cyanosis"
Toxic Multinodular Goiter,Methimazole, Propylthiouracil, Propranolol,"Neck swelling, Difficulty swallowing, Hyperthyroidism symptoms, Weight loss, Palpitations"
Open Wound of the Finger,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising"
Autonomic Nervous System Disorder,Fludrocortisone, Midodrine, Pyridostigmine,"Dizziness, Fainting, Abnormal sweating, Digestive problems, Urinary dysfunction"
Psychosexual Disorder,Sildenafil, Bupropion, Flibanserin,"Sexual dysfunction, Anxiety, Depression, Relationship problems, Loss of sexual interest"
Anemia,Ferrous Sulfate, Cyanocobalamin (B12), Folic Acid,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold extremities"
Tendinitis,Ibuprofen, Naproxen, Triamcinolone,"Pain near joint, Tenderness, Mild swelling, Stiffness, Warmth, Limited movement"
Common Cold,Acetaminophen, Pseudoephedrine, Dextromethorphan,"Runny nose, Sneezing, Sore throat, Cough, Mild fever, Congestion"
