diseases,medicine_1,medicine_2,medicine_3,side_effects
bipolar disorder,lithium,valproate,quetiapine,"tremor, polyuria, weight gain, thyroid dysfunction, toxicity risk, weight gain, hair loss, tremor, liver toxicity, teratogenicity, sedation, weight gain, dry mouth, metabolic effects"
amyloidosis,melphalan,dexamethasone,daratumumab,"consult prescriber for side effects, hyperglycemia, insomnia, weight gain, immunosuppression, consult prescriber for side effects"
chronic inflammatory demyelinating polyneuropathy (cidp),IVIG,prednisone,plasma exchange,"headache, fever, myalgia, aseptic meningitis, hemolysis, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, hypocalcemia, infection risk, bleeding, allergic reactions"
gastroesophageal reflux disease (gerd),omeprazole,esomeprazole,ranitidine,"headache, diarrhea, nausea, abdominal pain, low magnesium, headache, diarrhea, nausea, abdominal pain, headache, dizziness, constipation, diarrhea"
vitreous hemorrhage,ranibizumab (anti-VEGF),observation,,"consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
poisoning due to antimicrobial drugs,supportive care,activated charcoal,,"no significant side effects, constipation, aspiration risk, black stools"
open wound of the mouth,amoxicillin,metronidazole,wound care,"diarrhea, nausea, rash, allergic reaction, metallic taste, nausea, headache, dizziness, generally well tolerated, minimal systemic side effects"
scleroderma,methotrexate,mycophenolate,bosentan,"nausea, liver toxicity, mouth sores, bone marrow suppression, GI upset, diarrhea, bone marrow suppression, infection risk, liver toxicity, anemia, fluid retention, teratogenicity"
myasthenia gravis,pyridostigmine,prednisone,azathioprine,"cholinergic excess, nausea, diarrhea, bradycardia, sweating, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, bone marrow suppression, nausea, liver toxicity, infection risk"
hypoglycemia,glucose (oral/IV),glucagon,,"hyperglycemia, phlebitis (IV), fluid overload, nausea, vomiting, hypokalemia"
idiopathic absence of menstruation,combined oral contraceptives,progesterone,,"nausea, breast tenderness, blood clots, headache, drowsiness, dizziness, breast tenderness, bloating"
dislocation of the ankle,ibuprofen,acetaminophen,reduction,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, post-operative pain, infection risk, bleeding, anesthesia risks"
carbon monoxide poisoning,100% oxygen therapy,hyperbaric oxygen,,"oxygen toxicity (high concentration), dry mucous membranes, consult prescriber for side effects"
panic attack,lorazepam,alprazolam,propranolol,"drowsiness, dependence, memory impairment, respiratory depression, drowsiness, dizziness, dependence, memory problems, fatigue, fatigue, bradycardia, cold extremities, bronchospasm"
plantar fasciitis,ibuprofen,naproxen,corticosteroid injection,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, local atrophy, pain flare, infection risk, skin depigmentation"
hyperopia,corrective lenses,no medication required,,"generally well tolerated, minimal systemic side effects, not applicable"
poisoning due to sedatives,flumazenil,naloxone,supportive care,"benzodiazepine withdrawal, seizures, dizziness, opioid withdrawal symptoms, agitation, tachycardia, no significant side effects"
pemphigus,prednisone,rituximab,azathioprine,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, infusion reactions, infection risk, PML risk, hypogammaglobulinemia, bone marrow suppression, nausea, liver toxicity, infection risk"
peyronie disease,collagenase (Xiaflex),verapamil injection,,"injection site reactions, swelling, bruising, skin tears, constipation, bradycardia, hypotension, edema"
hiatal hernia,omeprazole,metoclopramide,antacids,"headache, diarrhea, nausea, abdominal pain, low magnesium, tardive dyskinesia, drowsiness, extrapyramidal effects, diarrhea, consult prescriber for side effects"
extrapyramidal effect of drugs,benztropine,diphenhydramine,biperiden,"dry mouth, urinary retention, constipation, confusion, drowsiness, dry mouth, urinary retention, confusion, dry mouth, constipation, blurred vision, urinary retention"
meniere disease,betahistine,diazepam,hydrochlorothiazide,"nausea, headache, GI upset, rash, drowsiness, dizziness, dependence, memory issues, low potassium, hyperglycemia, gout, dizziness"
anal fissure,topical nitroglycerin,nifedipine cream,botulinum toxin,"headache, hypotension, flushing, dizziness, flushing, edema, headache, reflex tachycardia, injection site pain, weakness, flu-like symptoms, ptosis"
allergy,loratadine,cetirizine,fexofenadine,"headache, dry mouth, fatigue, drowsiness, dry mouth, headache, headache, nausea, dizziness"
chronic otitis media,ciprofloxacin ear drops,amoxicillin-clavulanate,,"tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity, diarrhea, nausea, rash, yeast infection"
fracture of the finger,ibuprofen,acetaminophen,splinting,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, generally well tolerated, minimal systemic side effects"
hirschsprung disease,bowel prep,surgical resection,,"nausea, vomiting, electrolyte imbalance, bloating, post-operative pain, infection risk, bleeding, anesthesia risks"
polymyalgia rheumatica,prednisone,,,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes"
lymphedema,compression therapy,no specific medications,,"generally well tolerated, minimal systemic side effects, not applicable"
bladder cancer,gemcitabine,cisplatin,BCG (intravesical),"flu-like symptoms, bone marrow suppression, nausea, nephrotoxicity, nausea, ototoxicity, neuropathy, urinary symptoms, flu-like symptoms, systemic BCG infection (rare)"
acute bronchospasm,albuterol (inhaled),ipratropium,epinephrine,"tremor, tachycardia, headache, hypokalemia, dry mouth, urinary retention, constipation, palpitations, hypertension, anxiety, tremor"
acute glaucoma,timolol,acetazolamide,pilocarpine,"bradycardia, bronchospasm, fatigue, depression, metabolic acidosis, kidney stones, paresthesia, fatigue, sweating, nausea, flushing, urinary frequency"
open wound of the chest,antibiotics,morphine (pain management),,"consult prescriber for side effects, constipation, nausea, sedation, respiratory depression, dependence"
dislocation of the patella,ibuprofen,reduction procedure,,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, post-operative pain, infection risk, bleeding, anesthesia risks"
sciatica,ibuprofen,naproxen,gabapentin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, drowsiness, dizziness, weight gain, edema, ataxia"
hypercalcemia,IV saline,furosemide,bisphosphonates,"consult prescriber for side effects, electrolyte imbalance, dehydration, low potassium, dizziness, esophageal irritation, jaw necrosis, atypical fractures, bone pain"
stress incontinence,duloxetine,topical estrogen,pelvic floor therapy,"nausea, dry mouth, insomnia, dizziness, sweating, breast tenderness, vaginal discharge, headache, generally well tolerated, minimal systemic side effects"
varicose veins,diosmin,horse chestnut extract,compression therapy,"GI upset, headache, rash, dizziness, GI upset, headache, dizziness, pruritus, generally well tolerated, minimal systemic side effects"
benign kidney cyst,analgesics,observation,,"consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
hydrocele of the testicle,supportive care,surgical repair if needed,,"no significant side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
degenerative disc disease,ibuprofen,naproxen,gabapentin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, drowsiness, dizziness, weight gain, edema, ataxia"
hirsutism,spironolactone,oral contraceptives,metformin,"hyperkalemia, breast tenderness, dizziness, menstrual irregularity, nausea, breast tenderness, blood clots, headache, nausea, diarrhea, lactic acidosis (rare), vitamin B12 deficiency"
dislocation of the foot,ibuprofen,reduction,,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, post-operative pain, infection risk, bleeding, anesthesia risks"
hydronephrosis,tamsulosin,antibiotics (if infected),,"retrograde ejaculation, dizziness, orthostatic hypotension, consult prescriber for side effects"
diverticulosis,fiber supplements,rifaximin,mesalamine,"bloating, gas, bowel obstruction (inadequate fluid), cramping, nausea, flatulence, headache, dizziness, GI upset, headache, rash, kidney toxicity (rare)"
pain after an operation,acetaminophen,ibuprofen,opioids,"liver damage (overdose), nausea, rash, stomach pain, nausea, GI bleeding, kidney issues, hypertension, consult prescriber for side effects"
huntington disease,tetrabenazine,haloperidol,fluoxetine,"drowsiness, depression, akathisia, parkinsonism, extrapyramidal effects, tardive dyskinesia, sedation, QT prolongation, insomnia, nausea, anxiety, sexual dysfunction, headache"
lymphoma,cyclophosphamide,doxorubicin,rituximab,"hemorrhagic cystitis, bone marrow suppression, nausea, alopecia, cardiotoxicity, bone marrow suppression, alopecia, nausea, infusion reactions, infection risk, PML risk, hypogammaglobulinemia"
dermatitis due to sun exposure,hydrocortisone cream,aloe vera,antihistamines,"hyperglycemia, fluid retention, immunosuppression, weight gain, skin irritation (topical), diarrhea, cramping (oral), drowsiness, dry mouth, urinary retention, blurred vision"
anemia due to chronic kidney disease,erythropoietin,iron supplements,darbepoetin,"hypertension, thrombosis, headache, flu-like symptoms, constipation, nausea, dark stools, stomach pain, consult prescriber for side effects"
injury to internal organ,morphine,IV fluids,surgical intervention,"constipation, nausea, sedation, respiratory depression, dependence, fluid overload, electrolyte imbalance, phlebitis, post-operative pain, infection risk, bleeding, anesthesia risks"
scleritis,ibuprofen,prednisone,celecoxib,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, cardiovascular risk, GI upset, hypertension, kidney effects"
pterygium,lubricating eye drops,surgical removal if severe,,"consult prescriber for side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
fungal infection of the skin,clotrimazole,terbinafine,fluconazole,"skin irritation, burning, rash (topical), GI upset, liver toxicity, taste disturbance, rash, nausea, headache, liver toxicity, QT prolongation"
insulin overdose,glucose (oral/IV),glucagon,,"hyperglycemia, phlebitis (IV), fluid overload, nausea, vomiting, hypokalemia"
syndrome of inappropriate secretion of adh (siadh),fluid restriction,tolvaptan,demeclocycline,"generally well tolerated, minimal systemic side effects, thirst, polyuria, liver toxicity, hypernatremia, photosensitivity, nephrogenic DI, GI upset, diarrhea"
foreign body in the ear,removal procedure,antibiotics if infected,,"post-operative pain, infection risk, bleeding, anesthesia risks, consult prescriber for side effects"
premenstrual tension syndrome,NSAIDs,sertraline,oral contraceptives,"consult prescriber for side effects, nausea, insomnia, diarrhea, dry mouth, sexual dysfunction, nausea, breast tenderness, blood clots, headache"
orbital cellulitis,vancomycin,ceftriaxone,metronidazole,"red man syndrome, kidney toxicity, ototoxicity, phlebitis, diarrhea, rash, injection site pain, C. diff risk, metallic taste, nausea, headache, dizziness"
injury to the leg,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
hepatic encephalopathy,lactulose,rifaximin,,"bloating, gas, diarrhea, cramping, nausea, flatulence, headache, dizziness"
bone cancer,doxorubicin,cisplatin,methotrexate,"cardiotoxicity, bone marrow suppression, alopecia, nausea, nephrotoxicity, nausea, ototoxicity, neuropathy, nausea, liver toxicity, mouth sores, bone marrow suppression"
syringomyelia,gabapentin,surgical intervention,,"drowsiness, dizziness, weight gain, edema, ataxia, post-operative pain, infection risk, bleeding, anesthesia risks"
pulmonary fibrosis,pirfenidone,nintedanib,,"photosensitivity, GI upset, fatigue, rash, diarrhea, nausea, liver toxicity, bleeding risk"
mitral valve disease,furosemide,beta-blockers,anticoagulants,"electrolyte imbalance, dehydration, low potassium, dizziness, fatigue, bradycardia, cold extremities, bronchospasm, consult prescriber for side effects"
parkinson disease,levodopa-carbidopa,pramipexole,rasagiline,"dyskinesia, nausea, hypotension, hallucinations, nausea, drowsiness, hallucinations, impulse control disorders, insomnia, nausea, hallucinations, orthostatic hypotension"
gout,colchicine,indomethacin,allopurinol,"diarrhea, nausea, vomiting, muscle weakness, GI bleeding, kidney toxicity, headache, dizziness, rash, gout flare, liver toxicity, hypersensitivity"
otitis media,amoxicillin,amoxicillin-clavulanate,,"diarrhea, nausea, rash, allergic reaction, diarrhea, nausea, rash, yeast infection"
drug abuse (opioids),methadone,buprenorphine,naltrexone,"constipation, sweating, QT prolongation, sedation, dependence, nausea, constipation, headache, sweating, dependence, nausea, abdominal pain, hepatotoxicity, insomnia"
myelodysplastic syndrome,azacitidine,lenalidomide,erythropoietin,"consult prescriber for side effects, consult prescriber for side effects, hypertension, thrombosis, headache, flu-like symptoms"
fracture of the shoulder,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
acute kidney injury,IV fluids,furosemide,treat underlying cause,"fluid overload, electrolyte imbalance, phlebitis, electrolyte imbalance, dehydration, low potassium, dizziness, consult prescriber for side effects"
threatened pregnancy,progesterone,bed rest,,"drowsiness, dizziness, breast tenderness, bloating, generally well tolerated, minimal systemic side effects"
intracranial abscess,ceftriaxone,metronidazole,vancomycin,"diarrhea, rash, injection site pain, C. diff risk, metallic taste, nausea, headache, dizziness, red man syndrome, kidney toxicity, ototoxicity, phlebitis"
gum disease,amoxicillin,metronidazole,chlorhexidine mouthwash,"diarrhea, nausea, rash, allergic reaction, metallic taste, nausea, headache, dizziness, tooth staining, altered taste, oral irritation"
open wound from surgical incision,cephalexin,amoxicillin-clavulanate,wound care,"diarrhea, nausea, rash, C. diff risk, diarrhea, nausea, rash, yeast infection, generally well tolerated, minimal systemic side effects"
gastrointestinal hemorrhage,omeprazole (IV),octreotide,tranexamic acid,"headache, diarrhea, nausea, abdominal pain, low magnesium, GI upset, gallstones, bradycardia, hyperglycemia, nausea, diarrhea, headache, thrombosis risk"
seborrheic dermatitis,ketoconazole shampoo,selenium sulfide,hydrocortisone,"consult prescriber for side effects, scalp irritation, hair discoloration, dryness, hyperglycemia, fluid retention, immunosuppression, weight gain"
drug abuse (methamphetamine),bupropion,mirtazapine,supportive care,"insomnia, dry mouth, seizure risk, agitation, headache, weight gain, sedation, dry mouth, increased appetite, no significant side effects"
torticollis,botulinum toxin,diazepam,baclofen,"injection site pain, weakness, flu-like symptoms, ptosis, drowsiness, dizziness, dependence, memory issues, drowsiness, dizziness, weakness, fatigue"
poisoning due to antihypertensives,IV fluids,dopamine,calcium gluconate,"fluid overload, electrolyte imbalance, phlebitis, arrhythmia, hypertension, nausea, tissue necrosis, bradycardia, hypercalcemia, constipation"
tension headache,ibuprofen,acetaminophen,aspirin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, GI bleeding, stomach upset, tinnitus, bruising"
alcohol intoxication,thiamine,IV fluids,supportive care,"rarely nausea, allergic reaction (IV), fluid overload, electrolyte imbalance, phlebitis, no significant side effects"
scurvy,vitamin C (ascorbic acid) supplementation,,,"GI upset, kidney stones (high doses), diarrhea"
narcolepsy,modafinil,sodium oxybate,methylphenidate,"headache, nausea, insomnia, anxiety, nausea, dizziness, headache, confusion, dependence, insomnia, decreased appetite, tachycardia, anxiety"
food allergy,epinephrine (anaphylaxis),antihistamines,corticosteroids,"palpitations, hypertension, anxiety, tremor, drowsiness, dry mouth, urinary retention, blurred vision, hyperglycemia, weight gain, osteoporosis, immunosuppression"
labyrinthitis,prednisone,diazepam,meclizine,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, drowsiness, dizziness, dependence, memory issues, drowsiness, dry mouth, blurred vision"
Labyrinthitis,Prednisone, Meclizine, Diazepam,"Dizziness, Vertigo, Hearing loss, Nausea, Vomiting, Ear pain"
Anxiety,Sertraline, Escitalopram, Alprazolam,"Excessive worry, Restlessness, Rapid heartbeat, Sweating, Trembling, Difficulty concentrating"
Impulse Control Disorder,Lithium, Carbamazepine, Fluoxetine,"Inability to resist urges, Tension before acting, Relief after acting, Aggression, Mood swings"
Stenosis of the Tear Duct,No drug; surgical procedure (DCR),,,"Excessive tearing, Eye discharge, Blurred vision, Swelling near inner eye corner, Recurrent eye infections"
Abscess of Nose,Clindamycin, Amoxicillin-Clavulanate, Trimethoprim-Sulfamethoxazole,"Nasal pain, Swelling, Redness, Fever, Nasal discharge, Tenderness"
Omphalitis,Ampicillin, Gentamicin, Cloxacillin,"Redness around navel, Swelling, Discharge, Foul odor, Fever, Warmth"
Leukemia,Imatinib, Cytarabine, Daunorubicin,"Fatigue, Frequent infections, Easy bruising, Bleeding, Bone pain, Swollen lymph nodes"
Bell Palsy,Prednisone, Acyclovir, Valacyclovir,"Facial drooping, Difficulty closing eye, Drooling, Loss of taste, Facial pain, Headache"
Conjunctivitis due to Allergy,Olopatadine, Ketotifen, Azelastine,"Red eyes, Itching, Watery discharge, Swollen eyelids, Burning sensation"
Drug Reaction,Diphenhydramine, Methylprednisolone, Epinephrine,"Skin rash, Itching, Fever, Swelling, Difficulty breathing, Nausea"
Adrenal Cancer,Mitotane, Cisplatin, Etoposide,"Abdominal pain, Weight loss, Fatigue, Hormonal changes, Back pain, Fever"
Myopia,No drug; corrective lenses or surgery,,,"Blurred distant vision, Squinting, Headaches, Eye strain, Difficulty seeing at night"
Osteoarthritis,Ibuprofen, Naproxen, Diclofenac,"Joint pain, Stiffness, Swelling, Reduced range of motion, Bone spurs, Tenderness"
Thyroid Disease,Levothyroxine, Propylthiouracil, Methimazole,"Fatigue, Weight changes, Temperature sensitivity, Mood changes, Hair loss, Heart palpitations"
Pharyngitis,Penicillin V, Amoxicillin, Azithromycin,"Sore throat, Difficulty swallowing, Fever, Swollen lymph nodes, Hoarseness, Cough"
Chronic Rheumatic Fever,Benzathine Penicillin G, Aspirin, Prednisone,"Joint pain, Fever, Chest pain, Rash, Fatigue, Heart murmur"
Hypocalcemia,Calcium Gluconate, Calcium Carbonate, Calcitriol,"Muscle cramps, Tingling, Numbness, Fatigue, Seizures, Anxiety"
Macular Degeneration,Ranibizumab, Bevacizumab, Aflibercept,"Blurred central vision, Dark spots, Distorted vision, Difficulty reading, Color changes"
Pneumonia,Amoxicillin, Azithromycin, Levofloxacin,"Cough with phlegm, Fever, Chills, Shortness of breath, Chest pain, Fatigue"
Cold Sore,Acyclovir, Valacyclovir, Famciclovir,"Tingling lips, Painful blisters, Burning sensation, Itching, Crusting, Swelling"
Premature Ventricular Contractions (PVCs),Metoprolol, Atenolol, Amiodarone,"Palpitations, Fluttering chest, Skipped heartbeats, Dizziness, Shortness of breath"
Testicular Cancer,Bleomycin, Etoposide, Cisplatin,"Testicular lump, Swelling, Heaviness in scrotum, Back pain, Breast tenderness, Fatigue"
Hydrocephalus,Acetazolamide (temporary); surgical shunt,,,"Enlarged head, Headache, Nausea, Vomiting, Vision problems, Cognitive changes"
Breast Cancer,Tamoxifen, Trastuzumab, Doxorubicin,"Breast lump, Nipple discharge, Skin dimpling, Breast pain, Nipple changes, Swollen lymph nodes"
Anemia due to Malignancy,Epoetin Alfa, Darbepoetin Alfa, Ferrous Sulfate,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold hands"
Esophageal Varices,Propranolol, Nadolol, Octreotide,"Vomiting blood, Black stools, Dizziness, Fainting, Abdominal pain, Shock"
Endometrial Cancer,Medroxyprogesterone, Carboplatin, Paclitaxel,"Abnormal vaginal bleeding, Pelvic pain, Watery discharge, Painful urination, Weight loss"
Cystic Fibrosis,Ivacaftor, Lumacaftor, Tezacaftor,"Chronic cough, Thick mucus, Frequent lung infections, Poor growth, Salty skin, Digestive issues"
Intertrigo (Skin Condition),Clotrimazole, Miconazole, Mupirocin,"Skin rash in folds, Redness, Itching, Raw skin, Burning, Odor"
Parathyroid Adenoma,No drug; surgical parathyroidectomy,,,"Fatigue, Weakness, Bone pain, Kidney stones, Nausea, Depression"
Glucocorticoid Deficiency,Hydrocortisone, Prednisone, Fludrocortisone,"Fatigue, Weakness, Weight loss, Low blood pressure, Nausea, Skin darkening"
Temporomandibular Joint Disorder,Ibuprofen, Naproxen, Diazepam,"Jaw pain, Clicking jaw, Difficulty chewing, Facial pain, Headache, Ear pain"
Wilson Disease,Penicillamine, Trientine, Zinc Sulfate,"Liver disease, Neurological symptoms, Psychiatric symptoms, Kayser-Fleischer rings, Tremors"
Vesicoureteral Reflux,Trimethoprim-Sulfamethoxazole, Nitrofurantoin,,"Frequent UTIs, Fever, Back pain, Painful urination, Foul-smelling urine, Bedwetting"
Vitamin A Deficiency,Retinol (Vitamin A), Beta-Carotene,,"Night blindness, Dry eyes, Skin problems, Frequent infections, Poor growth, Corneal damage"
Gonorrhea,Ceftriaxone, Azithromycin, Doxycycline,"Painful urination, Discharge, Pelvic pain, Testicular pain, Sore throat, Rectal discharge"
Fracture of the Rib,Ibuprofen, Naproxen, Acetaminophen,"Chest pain, Worse with breathing, Tenderness, Swelling, Bruising, Shortness of breath"
Ependymoma,Temozolomide, Carboplatin, Cisplatin,"Headache, Nausea, Vomiting, Neck pain, Back pain, Neurological deficits"
Hepatitis due to a Toxin,N-Acetylcysteine, Silymarin,,"Jaundice, Fatigue, Nausea, Abdominal pain, Dark urine, Loss of appetite"
Vaginal Cyst,No drug; surgical excision if symptomatic,,,"Vaginal lump, Discomfort, Pain during intercourse, Painful urination, Swelling"
Open Wound of the Shoulder,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising, Tissue damage"
Ectopic Pregnancy,Methotrexate,,,"Sharp pelvic pain, Vaginal bleeding, Shoulder pain, Dizziness, Fainting, Nausea"
Chronic Knee Pain,Ibuprofen, Naproxen, Diclofenac,"Persistent knee pain, Stiffness, Swelling, Reduced range of motion, Weakness, Clicking"
Pinguecula,Artificial Tears, Ketorolac, Fluorometholone,"Yellow eye growth, Eye irritation, Dryness, Redness, Foreign body sensation"
Hypergammaglobulinemia,Treat cause; Prednisone, Hydroxychloroquine,,"Fatigue, Frequent infections, Joint pain, Swollen lymph nodes, Weight loss, Fever"
Alcohol Abuse,Naltrexone, Acamprosate, Disulfiram,"Craving alcohol, Loss of control, Physical dependence, Tolerance, Withdrawal symptoms, Neglecting responsibilities"
Carpal Tunnel Syndrome,Triamcinolone, Ibuprofen, Vitamin B6 (Pyridoxine),"Hand numbness, Tingling, Weakness, Night pain, Wrist pain, Dropping objects"
Pituitary Disorder,Cabergoline, Bromocriptine, Octreotide,"Hormonal imbalance, Headaches, Vision problems, Fatigue, Weight changes, Growth abnormalities"
Kidney Stone,Tamsulosin, Potassium Citrate, Hydrochlorothiazide,"Severe back pain, Flank pain, Blood in urine, Nausea, Vomiting, Painful urination"
Autism,Risperidone, Aripiprazole, Sertraline,"Social difficulties, Communication problems, Repetitive behaviors, Sensory sensitivity, Restricted interests"
Cat Scratch Disease,Azithromycin, Doxycycline, Rifampicin,"Swollen lymph nodes, Fever, Fatigue, Headache, Rash, Cat scratch lesion"
Chronic Glaucoma,Latanoprost, Timolol, Brimonidine,"Gradual vision loss, Peripheral vision loss, Blurred vision, Eye pain, Halos around lights"
Retinal Detachment,No drug; surgical repair,,,"Floaters, Flashes of light, Shadow in vision, Blurred vision, Vision loss"
Aplastic Anemia,Cyclosporine, Antithymocyte Globulin, Eltrombopag,"Fatigue, Frequent infections, Easy bruising, Bleeding, Pallor, Shortness of breath"
Overflow Incontinence,Bethanechol, Tamsulosin, Oxybutynin,"Frequent dribbling, Weak urine stream, Frequent urination, Feeling of incomplete emptying"
Hemolytic Anemia,Prednisone, Rituximab, Folic Acid,"Fatigue, Jaundice, Pale skin, Shortness of breath, Dark urine, Rapid heartbeat"
Lateral Epicondylitis (Tennis Elbow),Ibuprofen, Naproxen, Triamcinolone,"Elbow pain, Forearm weakness, Pain with grip, Tenderness, Stiffness, Aching"
Open Wound of the Eye,Moxifloxacin, Tobramycin, Ciprofloxacin eye drops,"Eye pain, Bleeding, Vision changes, Swelling, Tearing, Light sensitivity"
Syphilis,Benzathine Penicillin G, Doxycycline, Ceftriaxone,"Painless sore, Rash, Flu-like symptoms, Swollen lymph nodes, Hair loss, Neurological symptoms"
Diabetic Kidney Disease,Ramipril, Losartan, Dapagliflozin,"Swelling, Fatigue, Poor appetite, Nausea, High blood pressure, Protein in urine"
Nose Disorder,Fluticasone, Budesonide, Oxymetazoline,"Nasal congestion, Discharge, Reduced smell, Nose bleeding, Facial pain, Sneezing"
Drug Withdrawal,Methadone, Buprenorphine, Naloxone,"Anxiety, Sweating, Tremors, Nausea, Insomnia, Seizures"
Dental Caries,Fluoride, Silver Diamine Fluoride,,"Toothache, Tooth sensitivity, Visible holes, Staining, Pain when eating, Bad breath"
Hypercholesterolemia,Atorvastatin, Rosuvastatin, Ezetimibe,"Usually asymptomatic, Xanthomas, Chest pain, Xanthelasma, Fatty deposits"
Fracture of the Patella,Ibuprofen, Naproxen, Acetaminophen,"Knee pain, Swelling, Inability to straighten knee, Bruising, Tenderness"
Kidney Failure,Erythropoietin, Calcitriol, Sevelamer,"Decreased urination, Swelling, Shortness of breath, Fatigue, Nausea, Confusion"
Fracture of the Neck,Ibuprofen, Morphine, Calcium Carbonate,"Severe neck pain, Stiffness, Neurological symptoms, Inability to move neck, Tenderness"
Muscle Spasm,Cyclobenzaprine, Baclofen, Methocarbamol,"Sudden muscle contraction, Pain, Hardness, Involuntary movement, Tenderness"
Hemophilia,Factor VIII Concentrate, Factor IX Concentrate, Desmopressin (DDAVP),"Excessive bleeding, Prolonged bleeding from cuts, Joint pain, Bruising, Blood in urine"
Hyperosmotic Hyperketotic State,Insulin Regular, Normal Saline, Potassium Chloride,"Extreme thirst, Frequent urination, Weakness, Confusion, Nausea, High blood sugar"
Peritonsillar Abscess,Penicillin G, Clindamycin, Metronidazole,"Severe sore throat, Difficulty swallowing, Muffled voice, Fever, Drooling, Neck pain"
Gastroparesis,Metoclopramide, Domperidone, Erythromycin,"Nausea, Vomiting, Feeling full quickly, Bloating, Abdominal pain, Weight loss"
Itching of Unknown Cause,Cetirizine, Hydroxyzine, Diphenhydramine,"Generalized itching, Skin irritation, Redness, Dry skin, Scratching marks"
Polycythemia Vera,Hydroxyurea, Aspirin, Ruxolitinib,"Headache, Dizziness, Itching after bathing, Fatigue, Blurred vision, Redness of skin"
Thrombocytopenia,Prednisone, Eltrombopag, Romiplostim,"Easy bruising, Prolonged bleeding, Petechiae, Rash, Heavy menstruation, Bleeding gums"
Head and Neck Cancer,Cisplatin, Carboplatin, 5-Fluorouracil,"Lump in neck, Difficulty swallowing, Hoarseness, Ear pain, Weight loss, Sore throat"
Pseudohypoparathyroidism,Calcium Carbonate, Calcitriol, Cholecalciferol,"Low calcium, Short stature, Round face, Intellectual disability, Obesity, Muscle cramps"
Goiter,Levothyroxine, Methimazole, Potassium Iodide,"Swollen neck, Difficulty swallowing, Coughing, Hoarseness, Tight feeling in throat"
Urge Incontinence,Oxybutynin, Solifenacin, Tolterodine,"Sudden urge to urinate, Leaking urine, Frequent urination, Nocturia"
Edward Syndrome (Trisomy 18),No specific drug; supportive medications,,,"Heart defects, Clenched fists, Low birth weight, Feeding difficulties, Intellectual disability"
Open Wound of the Arm,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Limited movement, Tissue damage"
Muscular Dystrophy,Prednisone, Deflazacort, Eteplirsen,"Progressive muscle weakness, Difficulty walking, Falling, Muscle cramps, Scoliosis"
Mittelschmerz,Ibuprofen, Naproxen, Acetaminophen,"Mid-cycle pelvic pain, Lower abdominal pain, Light spotting, Nausea, Brief pain"
Corneal Abrasion,Moxifloxacin, Tobramycin, Artificial Tears,"Eye pain, Tearing, Redness, Light sensitivity, Foreign body sensation, Blurred vision"
Anemia of Chronic Disease,Epoetin Alfa, Ferric Carboxymaltose, Darbepoetin Alfa,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold extremities"
Dysthymic Disorder,Sertraline, Fluoxetine, Escitalopram,"Persistent low mood, Hopelessness, Fatigue, Poor concentration, Low self-esteem, Sleep problems"
Scarlet Fever,Penicillin V, Amoxicillin, Azithromycin,"High fever, Sore throat, Red rash, Strawberry tongue, Flushed face, Peeling skin"
Hypertensive Heart Disease,Amlodipine, Enalapril, Furosemide,"Chest pain, Shortness of breath, Fatigue, Palpitations, Headache, Dizziness"
Drug Abuse (Barbiturates),Phenobarbital (taper), Diazepam, Clonidine,"Drowsiness, Confusion, Slurred speech, Coordination problems, Mood changes, Respiratory depression"
