diseases,medicine_1,medicine_2,medicine_3,side_effects
obsessive compulsive disorder (ocd),Fluvoxamine,Sertraline,Clomipramine,"Nausea, insomnia, dry mouth, sexual dysfunction, QT prolongation (clomipramine)"
injury of the ankle,Ibuprofen,Naproxen,RICE Therapy + Physiotherapy,"GI upset, peptic ulcer, muscle soreness, renal impairment, headache"
hyponatremia,IV Normal Saline (mild),Hypertonic Saline 3% (severe),Tolvaptan (SIADH),"Fluid overload, osmotic demyelination (if overcorrected), hepatotoxicity, hypernatremia, thirst"
stricture of the esophagus,Esophageal Dilation (endoscopic),Proton Pump Inhibitors (peptic),Surgical Stricturoplasty,"Perforation, headache, nausea, bleeding, C. difficile infection"
fracture of the ankle,Surgical ORIF,Ankle Splinting/Casting,Ibuprofen,"Bleeding, GI upset, infection, joint stiffness, hardware failure"
soft tissue sarcoma,Surgical Resection,Doxorubicin,Radiation Therapy,"Bleeding, cardiotoxicity, myelosuppression, radiation fibrosis, nausea"
bone disorder,Alendronate (osteoporosis),Zoledronic Acid (Paget's),Calcium + Vitamin D,"Esophageal irritation, flu-like symptoms, constipation, hypocalcemia, osteonecrosis of the jaw"
epilepsy,Levetiracetam,Valproate,Lamotrigine,"Irritability, hepatotoxicity, rash (Stevens-Johnson risk), somnolence, teratogenicity"
personality disorder,Dialectical Behavior Therapy (DBT),CBT,SSRIs (comorbid depression/anxiety),"Emotional distress, nausea, insomnia, sexual dysfunction, high dropout rate"
shingles (herpes zoster),Valacyclovir,Acyclovir,Famciclovir,"Nausea, headache, renal impairment, dizziness, fatigue"
tourette syndrome,Fluphenazine,Clonidine,Behavioral Therapy (CBIT),"Extrapyramidal symptoms, sedation, hypotension, tardive dyskinesia, rebound hypertension"
avascular necrosis,Core Decompression,Total Joint Replacement,Bisphosphonates,"Bleeding, infection, esophageal irritation, osteonecrosis of the jaw, hardware failure"
strep throat,Amoxicillin,Penicillin V,Azithromycin (penicillin allergy),"Diarrhea, nausea, QT prolongation, allergic reactions, C. difficile infection"
spinocerebellar ataxia,Physical Therapy,Riluzole (investigational),Vardenafil (symptomatic),"Muscle soreness, nausea, elevated liver enzymes, headache, flushing"
osteomyelitis,Nafcillin (MSSA),Vancomycin (MRSA),Ciprofloxacin + Rifampin (chronic),"Hepatotoxicity, nephrotoxicity, tendinopathy, red man syndrome, drug interactions"
sjogren syndrome,Pilocarpine (dry mouth/eyes),Hydroxychloroquine,Artificial Tears,"Sweating, nausea, retinopathy, blurred vision, urinary frequency"
adhesive capsulitis of the shoulder,Physical Therapy,Corticosteroid Injection,Hydrodilatation,"Muscle soreness, skin atrophy, procedural pain, temporary pain increase, infection"
viral hepatitis,Sofosbuvir-Velpatasvir (HCV),Tenofovir (HBV),Entecavir (HBV),"Headache, fatigue, renal toxicity, nausea, lactic acidosis (rare)"
tonsillar hypertrophy,Tonsillectomy,Amoxicillin (if infectious),Intranasal Corticosteroids,"Bleeding, diarrhea, nasal dryness, infection, pain"
gastritis,Omeprazole,Amoxicillin + Clarithromycin + PPI (H. pylori),Sucralfate,"Headache, nausea, metallic taste, constipation, C. difficile infection"
skin cancer,Surgical Excision (BCC/SCC),Mohs Surgery (high-risk),Imiquimod (superficial BCC),"Bleeding, infection, scarring, local skin reactions, erythema"
rheumatic fever,Penicillin V,Amoxicillin,Aspirin (anti-inflammatory),"Nausea, GI bleeding, allergic reactions, C. difficile infection, tinnitus"
aphthous ulcer,Triamcinolone Acetonide (topical),Chlorhexidine Mouthwash,Dexamethasone Elixir,"Local burning, teeth staining, secondary oral candidiasis, altered taste, adrenal suppression"
tonsillitis,Amoxicillin,Penicillin V,Tonsillectomy (recurrent),"Diarrhea, nausea, bleeding, allergic reactions, infection"
intestinal cancer,Surgical Resection,FOLFOX (Oxaliplatin + 5-FU + Leucovorin),Capecitabine,"Bleeding, peripheral neuropathy, hand-foot syndrome, myelosuppression, nausea"
rocky mountain spotted fever,Doxycycline,Chloramphenicol (pregnancy),Tetracycline,"Photosensitivity, bone marrow suppression, GI upset, esophageal irritation, hepatotoxicity"
stomach cancer,Gastrectomy (surgical),Trastuzumab + Chemotherapy (HER2+),Oxaliplatin + Capecitabine,"Dumping syndrome, cardiotoxicity, peripheral neuropathy, myelosuppression, nausea"
developmental disability,Early Intervention Therapy,Applied Behavior Analysis (ABA),Special Education Services,"Emotional distress, caregiver fatigue, time commitment, cost, limited generalization"
acute stress reaction,Supportive Psychological First Aid,CBT,Short-term Propranolol,"Emotional distress, bradycardia, fatigue, hypotension, bronchospasm"
delirium,Treat Underlying Cause,Haloperidol (agitation),Environmental Reorientation,"Extrapyramidal symptoms, QT prolongation, sedation, staff burden, variable efficacy"
callus,Keratolytic Agents (Salicylic Acid),Pumice Stone Debridement,Custom Orthotics,"Skin irritation, local abrasion, redness, discomfort, systemic toxicity (extensive use)"
guillain barre syndrome,IV Immunoglobulin (IVIG),Plasmapheresis,Supportive Care (ventilation if needed),"Headache, fever, hypotension, renal failure, thromboembolism"
lumbago,Ibuprofen,Naproxen,Physical Therapy,"GI upset, peptic ulcer, muscle soreness, renal impairment, headache"
deviated nasal septum,Septoplasty (surgical),Intranasal Corticosteroids,Nasal Decongestants,"Bleeding, nasal dryness, rebound congestion, epistaxis, infection"
hemangioma,Propranolol,Timolol (topical),Pulsed Dye Laser,"Bradycardia, hypoglycemia, purpura, local skin irritation, hypotension"
peripheral arterial disease,Aspirin,Clopidogrel,Cilostazol,"GI bleeding, headache, palpitations, dizziness, diarrhea"
chronic back pain,Physical Therapy,Duloxetine,Ibuprofen,"Muscle soreness, nausea, GI upset, dry mouth, renal impairment"
heart failure,Furosemide,Lisinopril (ACE inhibitor),Carvedilol (beta-blocker),"Electrolyte imbalance, dry cough, bradycardia, hypotension, renal impairment"
conjunctivitis,Artificial Tears (viral),Erythromycin (bacterial),Antihistamine Drops (allergic),"Blurred vision, local stinging, burning, preservative irritation, headache"
herniated disk,Physical Therapy,Ibuprofen,Epidural Steroid Injection,"Muscle soreness, GI upset, infection risk, headache, adrenal suppression"
rhabdomyolysis,IV Normal Saline (aggressive hydration),Sodium Bicarbonate,Furosemide (if oliguria),"Fluid overload, metabolic alkalosis, electrolyte imbalance, ototoxicity, phlebitis"
breast infection (mastitis),Dicloxacillin,Cephalexin,Amoxicillin-Clavulanate,"Nausea, diarrhea, allergic reactions, C. difficile infection, hepatotoxicity"
abdominal aortic aneurysm,Endovascular Aneurysm Repair (EVAR),Open Surgical Repair,Beta-Blockers (medical management),"Bleeding, endoleak, bradycardia, renal impairment, infection"
pulmonary embolism,Rivaroxaban,Apixaban,Heparin + Warfarin,"Bleeding, nausea, HIT, drug interactions, hemorrhagic complications"
conduct disorder,Behavioral Therapy,CBT,Risperidone (severe aggression),"Emotional distress, weight gain, sedation, extrapyramidal symptoms, time commitment"
mastectomy (post-surgical),Tamoxifen (ER+ premenopausal),Aromatase Inhibitors (postmenopausal),Physical Therapy,"Hot flashes, thromboembolism, arthralgia, bone density loss, muscle soreness"
epididymitis,Doxycycline + Ceftriaxone (STI),Levofloxacin (non-STI),Ibuprofen,"Photosensitivity, tendinopathy, GI upset, allergic reactions, nausea"
premature rupture of amniotic membrane,Betamethasone (fetal lung maturity),Ampicillin + Erythromycin,Magnesium Sulfate (neuroprotection),"Maternal hyperglycemia, nausea, flushing, respiratory depression, allergic reactions"
molluscum contagiosum,Cantharidin,Curettage,Imiquimod,"Local blistering, pain, local skin reactions, scarring, pigmentation changes"
necrotizing fasciitis,Surgical Debridement,Vancomycin + Piperacillin-Tazobactam + Clindamycin,IV Immunoglobulin,"Bleeding, nephrotoxicity, fever, C. difficile infection, tissue loss"
benign vaginal discharge (leukorrhea),Reassurance (physiologic),Metronidazole (BV-associated),Fluconazole (Candida-associated),"Patient anxiety, nausea, metallic taste, hepatotoxicity, drug interactions"
bladder obstruction,Tamsulosin (BPH),Finasteride (BPH),Urethral Catheterization (acute),"Orthostatic hypotension, sexual dysfunction, UTI, urethral trauma, gynecomastia"
melanoma,Surgical Wide Excision,Pembrolizumab,Nivolumab + Ipilimumab (advanced),"Bleeding, immune-related adverse events, fatigue, rash, endocrinopathies"
cervical disorder,Cryotherapy (CIN),Conization (LEEP),Colposcopy-guided Biopsy,"Vaginal discharge, bleeding, cramping, cervical stenosis, infection"
laryngitis,Voice Rest,Ibuprofen,Corticosteroids (severe/professional),"GI upset, hyperglycemia, compliance challenges, immunosuppression, peptic ulcer"
dyshidrosis,Triamcinolone (topical potent corticosteroid),Tacrolimus (topical),Psoralen + UVA (PUVA),"Skin atrophy, local burning, phototoxicity, secondary infections, HPA suppression"
poisoning due to opioids,Naloxone,Methadone Maintenance,Buprenorphine-Naloxone,"Acute opioid withdrawal, QT prolongation, constipation, nausea, sedation"
diaper rash,Zinc Oxide Barrier Cream,Nystatin (candidal),Hydrocortisone 1% (mild),"Local irritation, skin atrophy (steroid overuse), rash, allergic reactions, secondary infections"
lichen planus,Clobetasol (topical),Triamcinolone (intralesional),Hydroxychloroquine (systemic),"Skin atrophy, retinopathy, pain at injection site, hypopigmentation, nausea"
gastroduodenal ulcer,Omeprazole,Amoxicillin + Clarithromycin + PPI (H. pylori triple therapy),Sucralfate,"Headache, nausea, metallic taste, constipation, C. difficile infection"
inguinal hernia,Laparoscopic Hernia Repair (TAPP/TEP),Open Mesh Repair (Lichtenstein),Watchful Waiting (asymptomatic),"Bleeding, chronic groin pain, infection, nerve injury, hernia recurrence"
eczema,Triamcinolone (topical corticosteroid),Tacrolimus (topical),Dupilumab (moderate-severe),"Skin atrophy, local burning, injection site reactions, conjunctivitis, secondary infections"
asperger syndrome,Behavioral Therapy (ABA),CBT,Social Skills Training,"Emotional distress, caregiver fatigue, time commitment, cost, limited generalization"
mucositis,Palifermin (prevention),Cryotherapy (oral),Chlorhexidine Mouthwash,"Rash, teeth staining, altered taste, mucosal irritation, local discomfort"
paronychia,Warm Soaks + Drainage,Amoxicillin-Clavulanate (acute bacterial),Itraconazole (chronic fungal),"Skin maceration, diarrhea, nausea, hepatotoxicity, QT prolongation"
open wound of the jaw,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
white blood cell disease,Filgrastim (neutropenia),Hydroxyurea (CML),Imatinib (CML targeted therapy),"Bone pain, myelosuppression, edema, nausea, hepatotoxicity"
kaposi sarcoma,Antiretroviral Therapy (HIV-associated),Liposomal Doxorubicin,Paclitaxel,"Nausea, hand-foot syndrome, peripheral neuropathy, myelosuppression, cardiotoxicity"
spondylolisthesis,Physical Therapy,Ibuprofen,Spinal Fusion (surgery - severe),"Muscle soreness, GI upset, bleeding, infection, hardware failure"
pseudotumor cerebri,Acetazolamide,Weight Loss (obese patients),Optic Nerve Sheath Fenestration (vision loss),"Paresthesia, metabolic acidosis, bleeding, gallstones, kidney stones"
conjunctivitis due to virus,Artificial Tears,Cool Compresses,Antihistamine Drops (allergic),"Blurred vision, local stinging, skin irritation, headache, burning"
open wound of the nose,Wound Irrigation + Closure,Amoxicillin-Clavulanate,Tetanus Prophylaxis,"Infection risk, diarrhea, injection site pain, scarring, allergic reactions"
