diseases,medicine_1,medicine_2,medicine_3,side_effects
bipolar disorder,lithium,valproate,quetiapine,"tremor, polyuria, weight gain, thyroid dysfunction, toxicity risk, weight gain, hair loss, tremor, liver toxicity, teratogenicity, sedation, weight gain, dry mouth, metabolic effects"
amyloidosis,melphalan,dexamethasone,daratumumab,"consult prescriber for side effects, hyperglycemia, insomnia, weight gain, immunosuppression, consult prescriber for side effects"
chronic inflammatory demyelinating polyneuropathy (cidp),IVIG,prednisone,plasma exchange,"headache, fever, myalgia, aseptic meningitis, hemolysis, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, hypocalcemia, infection risk, bleeding, allergic reactions"
gastroesophageal reflux disease (gerd),omeprazole,esomeprazole,ranitidine,"headache, diarrhea, nausea, abdominal pain, low magnesium, headache, diarrhea, nausea, abdominal pain, headache, dizziness, constipation, diarrhea"
vitreous hemorrhage,ranibizumab (anti-VEGF),observation,,"consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
poisoning due to antimicrobial drugs,supportive care,activated charcoal,,"no significant side effects, constipation, aspiration risk, black stools"
open wound of the mouth,amoxicillin,metronidazole,wound care,"diarrhea, nausea, rash, allergic reaction, metallic taste, nausea, headache, dizziness, generally well tolerated, minimal systemic side effects"
scleroderma,methotrexate,mycophenolate,bosentan,"nausea, liver toxicity, mouth sores, bone marrow suppression, GI upset, diarrhea, bone marrow suppression, infection risk, liver toxicity, anemia, fluid retention, teratogenicity"
myasthenia gravis,pyridostigmine,prednisone,azathioprine,"cholinergic excess, nausea, diarrhea, bradycardia, sweating, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, bone marrow suppression, nausea, liver toxicity, infection risk"
hypoglycemia,glucose (oral/IV),glucagon,,"hyperglycemia, phlebitis (IV), fluid overload, nausea, vomiting, hypokalemia"
idiopathic absence of menstruation,combined oral contraceptives,progesterone,,"nausea, breast tenderness, blood clots, headache, drowsiness, dizziness, breast tenderness, bloating"
dislocation of the ankle,ibuprofen,acetaminophen,reduction,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, post-operative pain, infection risk, bleeding, anesthesia risks"
carbon monoxide poisoning,100% oxygen therapy,hyperbaric oxygen,,"oxygen toxicity (high concentration), dry mucous membranes, consult prescriber for side effects"
panic attack,lorazepam,alprazolam,propranolol,"drowsiness, dependence, memory impairment, respiratory depression, drowsiness, dizziness, dependence, memory problems, fatigue, fatigue, bradycardia, cold extremities, bronchospasm"
plantar fasciitis,ibuprofen,naproxen,corticosteroid injection,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, local atrophy, pain flare, infection risk, skin depigmentation"
hyperopia,corrective lenses,no medication required,,"generally well tolerated, minimal systemic side effects, not applicable"
poisoning due to sedatives,flumazenil,naloxone,supportive care,"benzodiazepine withdrawal, seizures, dizziness, opioid withdrawal symptoms, agitation, tachycardia, no significant side effects"
pemphigus,prednisone,rituximab,azathioprine,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, infusion reactions, infection risk, PML risk, hypogammaglobulinemia, bone marrow suppression, nausea, liver toxicity, infection risk"
peyronie disease,collagenase (Xiaflex),verapamil injection,,"injection site reactions, swelling, bruising, skin tears, constipation, bradycardia, hypotension, edema"
hiatal hernia,omeprazole,metoclopramide,antacids,"headache, diarrhea, nausea, abdominal pain, low magnesium, tardive dyskinesia, drowsiness, extrapyramidal effects, diarrhea, consult prescriber for side effects"
extrapyramidal effect of drugs,benztropine,diphenhydramine,biperiden,"dry mouth, urinary retention, constipation, confusion, drowsiness, dry mouth, urinary retention, confusion, dry mouth, constipation, blurred vision, urinary retention"
meniere disease,betahistine,diazepam,hydrochlorothiazide,"nausea, headache, GI upset, rash, drowsiness, dizziness, dependence, memory issues, low potassium, hyperglycemia, gout, dizziness"
anal fissure,topical nitroglycerin,nifedipine cream,botulinum toxin,"headache, hypotension, flushing, dizziness, flushing, edema, headache, reflex tachycardia, injection site pain, weakness, flu-like symptoms, ptosis"
allergy,loratadine,cetirizine,fexofenadine,"headache, dry mouth, fatigue, drowsiness, dry mouth, headache, headache, nausea, dizziness"
chronic otitis media,ciprofloxacin ear drops,amoxicillin-clavulanate,,"tendon rupture, nausea, diarrhea, QT prolongation, photosensitivity, diarrhea, nausea, rash, yeast infection"
fracture of the finger,ibuprofen,acetaminophen,splinting,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, generally well tolerated, minimal systemic side effects"
hirschsprung disease,bowel prep,surgical resection,,"nausea, vomiting, electrolyte imbalance, bloating, post-operative pain, infection risk, bleeding, anesthesia risks"
polymyalgia rheumatica,prednisone,,,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes"
lymphedema,compression therapy,no specific medications,,"generally well tolerated, minimal systemic side effects, not applicable"
bladder cancer,gemcitabine,cisplatin,BCG (intravesical),"flu-like symptoms, bone marrow suppression, nausea, nephrotoxicity, nausea, ototoxicity, neuropathy, urinary symptoms, flu-like symptoms, systemic BCG infection (rare)"
acute bronchospasm,albuterol (inhaled),ipratropium,epinephrine,"tremor, tachycardia, headache, hypokalemia, dry mouth, urinary retention, constipation, palpitations, hypertension, anxiety, tremor"
acute glaucoma,timolol,acetazolamide,pilocarpine,"bradycardia, bronchospasm, fatigue, depression, metabolic acidosis, kidney stones, paresthesia, fatigue, sweating, nausea, flushing, urinary frequency"
open wound of the chest,antibiotics,morphine (pain management),,"consult prescriber for side effects, constipation, nausea, sedation, respiratory depression, dependence"
dislocation of the patella,ibuprofen,reduction procedure,,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, post-operative pain, infection risk, bleeding, anesthesia risks"
sciatica,ibuprofen,naproxen,gabapentin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, drowsiness, dizziness, weight gain, edema, ataxia"
hypercalcemia,IV saline,furosemide,bisphosphonates,"consult prescriber for side effects, electrolyte imbalance, dehydration, low potassium, dizziness, esophageal irritation, jaw necrosis, atypical fractures, bone pain"
stress incontinence,duloxetine,topical estrogen,pelvic floor therapy,"nausea, dry mouth, insomnia, dizziness, sweating, breast tenderness, vaginal discharge, headache, generally well tolerated, minimal systemic side effects"
varicose veins,diosmin,horse chestnut extract,compression therapy,"GI upset, headache, rash, dizziness, GI upset, headache, dizziness, pruritus, generally well tolerated, minimal systemic side effects"
benign kidney cyst,analgesics,observation,,"consult prescriber for side effects, generally well tolerated, minimal systemic side effects"
hydrocele of the testicle,supportive care,surgical repair if needed,,"no significant side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
degenerative disc disease,ibuprofen,naproxen,gabapentin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, drowsiness, dizziness, weight gain, edema, ataxia"
hirsutism,spironolactone,oral contraceptives,metformin,"hyperkalemia, breast tenderness, dizziness, menstrual irregularity, nausea, breast tenderness, blood clots, headache, nausea, diarrhea, lactic acidosis (rare), vitamin B12 deficiency"
dislocation of the foot,ibuprofen,reduction,,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, post-operative pain, infection risk, bleeding, anesthesia risks"
hydronephrosis,tamsulosin,antibiotics (if infected),,"retrograde ejaculation, dizziness, orthostatic hypotension, consult prescriber for side effects"
diverticulosis,fiber supplements,rifaximin,mesalamine,"bloating, gas, bowel obstruction (inadequate fluid), cramping, nausea, flatulence, headache, dizziness, GI upset, headache, rash, kidney toxicity (rare)"
pain after an operation,acetaminophen,ibuprofen,opioids,"liver damage (overdose), nausea, rash, stomach pain, nausea, GI bleeding, kidney issues, hypertension, consult prescriber for side effects"
huntington disease,tetrabenazine,haloperidol,fluoxetine,"drowsiness, depression, akathisia, parkinsonism, extrapyramidal effects, tardive dyskinesia, sedation, QT prolongation, insomnia, nausea, anxiety, sexual dysfunction, headache"
lymphoma,cyclophosphamide,doxorubicin,rituximab,"hemorrhagic cystitis, bone marrow suppression, nausea, alopecia, cardiotoxicity, bone marrow suppression, alopecia, nausea, infusion reactions, infection risk, PML risk, hypogammaglobulinemia"
dermatitis due to sun exposure,hydrocortisone cream,aloe vera,antihistamines,"hyperglycemia, fluid retention, immunosuppression, weight gain, skin irritation (topical), diarrhea, cramping (oral), drowsiness, dry mouth, urinary retention, blurred vision"
anemia due to chronic kidney disease,erythropoietin,iron supplements,darbepoetin,"hypertension, thrombosis, headache, flu-like symptoms, constipation, nausea, dark stools, stomach pain, consult prescriber for side effects"
injury to internal organ,morphine,IV fluids,surgical intervention,"constipation, nausea, sedation, respiratory depression, dependence, fluid overload, electrolyte imbalance, phlebitis, post-operative pain, infection risk, bleeding, anesthesia risks"
scleritis,ibuprofen,prednisone,celecoxib,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, cardiovascular risk, GI upset, hypertension, kidney effects"
pterygium,lubricating eye drops,surgical removal if severe,,"consult prescriber for side effects, post-operative pain, infection risk, bleeding, anesthesia risks"
fungal infection of the skin,clotrimazole,terbinafine,fluconazole,"skin irritation, burning, rash (topical), GI upset, liver toxicity, taste disturbance, rash, nausea, headache, liver toxicity, QT prolongation"
insulin overdose,glucose (oral/IV),glucagon,,"hyperglycemia, phlebitis (IV), fluid overload, nausea, vomiting, hypokalemia"
syndrome of inappropriate secretion of adh (siadh),fluid restriction,tolvaptan,demeclocycline,"generally well tolerated, minimal systemic side effects, thirst, polyuria, liver toxicity, hypernatremia, photosensitivity, nephrogenic DI, GI upset, diarrhea"
foreign body in the ear,removal procedure,antibiotics if infected,,"post-operative pain, infection risk, bleeding, anesthesia risks, consult prescriber for side effects"
premenstrual tension syndrome,NSAIDs,sertraline,oral contraceptives,"consult prescriber for side effects, nausea, insomnia, diarrhea, dry mouth, sexual dysfunction, nausea, breast tenderness, blood clots, headache"
orbital cellulitis,vancomycin,ceftriaxone,metronidazole,"red man syndrome, kidney toxicity, ototoxicity, phlebitis, diarrhea, rash, injection site pain, C. diff risk, metallic taste, nausea, headache, dizziness"
injury to the leg,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
hepatic encephalopathy,lactulose,rifaximin,,"bloating, gas, diarrhea, cramping, nausea, flatulence, headache, dizziness"
bone cancer,doxorubicin,cisplatin,methotrexate,"cardiotoxicity, bone marrow suppression, alopecia, nausea, nephrotoxicity, nausea, ototoxicity, neuropathy, nausea, liver toxicity, mouth sores, bone marrow suppression"
syringomyelia,gabapentin,surgical intervention,,"drowsiness, dizziness, weight gain, edema, ataxia, post-operative pain, infection risk, bleeding, anesthesia risks"
pulmonary fibrosis,pirfenidone,nintedanib,,"photosensitivity, GI upset, fatigue, rash, diarrhea, nausea, liver toxicity, bleeding risk"
mitral valve disease,furosemide,beta-blockers,anticoagulants,"electrolyte imbalance, dehydration, low potassium, dizziness, fatigue, bradycardia, cold extremities, bronchospasm, consult prescriber for side effects"
parkinson disease,levodopa-carbidopa,pramipexole,rasagiline,"dyskinesia, nausea, hypotension, hallucinations, nausea, drowsiness, hallucinations, impulse control disorders, insomnia, nausea, hallucinations, orthostatic hypotension"
gout,colchicine,indomethacin,allopurinol,"diarrhea, nausea, vomiting, muscle weakness, GI bleeding, kidney toxicity, headache, dizziness, rash, gout flare, liver toxicity, hypersensitivity"
otitis media,amoxicillin,amoxicillin-clavulanate,,"diarrhea, nausea, rash, allergic reaction, diarrhea, nausea, rash, yeast infection"
drug abuse (opioids),methadone,buprenorphine,naltrexone,"constipation, sweating, QT prolongation, sedation, dependence, nausea, constipation, headache, sweating, dependence, nausea, abdominal pain, hepatotoxicity, insomnia"
myelodysplastic syndrome,azacitidine,lenalidomide,erythropoietin,"consult prescriber for side effects, consult prescriber for side effects, hypertension, thrombosis, headache, flu-like symptoms"
fracture of the shoulder,ibuprofen,acetaminophen,opioids (severe),"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, consult prescriber for side effects"
acute kidney injury,IV fluids,furosemide,treat underlying cause,"fluid overload, electrolyte imbalance, phlebitis, electrolyte imbalance, dehydration, low potassium, dizziness, consult prescriber for side effects"
threatened pregnancy,progesterone,bed rest,,"drowsiness, dizziness, breast tenderness, bloating, generally well tolerated, minimal systemic side effects"
intracranial abscess,ceftriaxone,metronidazole,vancomycin,"diarrhea, rash, injection site pain, C. diff risk, metallic taste, nausea, headache, dizziness, red man syndrome, kidney toxicity, ototoxicity, phlebitis"
gum disease,amoxicillin,metronidazole,chlorhexidine mouthwash,"diarrhea, nausea, rash, allergic reaction, metallic taste, nausea, headache, dizziness, tooth staining, altered taste, oral irritation"
open wound from surgical incision,cephalexin,amoxicillin-clavulanate,wound care,"diarrhea, nausea, rash, C. diff risk, diarrhea, nausea, rash, yeast infection, generally well tolerated, minimal systemic side effects"
gastrointestinal hemorrhage,omeprazole (IV),octreotide,tranexamic acid,"headache, diarrhea, nausea, abdominal pain, low magnesium, GI upset, gallstones, bradycardia, hyperglycemia, nausea, diarrhea, headache, thrombosis risk"
seborrheic dermatitis,ketoconazole shampoo,selenium sulfide,hydrocortisone,"consult prescriber for side effects, scalp irritation, hair discoloration, dryness, hyperglycemia, fluid retention, immunosuppression, weight gain"
drug abuse (methamphetamine),bupropion,mirtazapine,supportive care,"insomnia, dry mouth, seizure risk, agitation, headache, weight gain, sedation, dry mouth, increased appetite, no significant side effects"
torticollis,botulinum toxin,diazepam,baclofen,"injection site pain, weakness, flu-like symptoms, ptosis, drowsiness, dizziness, dependence, memory issues, drowsiness, dizziness, weakness, fatigue"
poisoning due to antihypertensives,IV fluids,dopamine,calcium gluconate,"fluid overload, electrolyte imbalance, phlebitis, arrhythmia, hypertension, nausea, tissue necrosis, bradycardia, hypercalcemia, constipation"
tension headache,ibuprofen,acetaminophen,aspirin,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, GI bleeding, stomach upset, tinnitus, bruising"
alcohol intoxication,thiamine,IV fluids,supportive care,"rarely nausea, allergic reaction (IV), fluid overload, electrolyte imbalance, phlebitis, no significant side effects"
scurvy,vitamin C (ascorbic acid) supplementation,,,"GI upset, kidney stones (high doses), diarrhea"
narcolepsy,modafinil,sodium oxybate,methylphenidate,"headache, nausea, insomnia, anxiety, nausea, dizziness, headache, confusion, dependence, insomnia, decreased appetite, tachycardia, anxiety"
food allergy,epinephrine (anaphylaxis),antihistamines,corticosteroids,"palpitations, hypertension, anxiety, tremor, drowsiness, dry mouth, urinary retention, blurred vision, hyperglycemia, weight gain, osteoporosis, immunosuppression"
labyrinthitis,prednisone,diazepam,meclizine,"weight gain, hyperglycemia, osteoporosis, insomnia, mood changes, drowsiness, dizziness, dependence, memory issues, drowsiness, dry mouth, blurred vision"
